guestroom,hotwaterheating,parking,area,furnishingstatus,mainroad,airconditioning,bathrooms,price,basement,stories,prefarea,bedrooms
no,no,1,5900,unfurnished,no,no,2,4045214,yes,2,no,4
no,no,0,6500,furnished,yes,yes,2,6536696,no,3,yes,3
no,no,0,4040,semi-furnished,yes,no,1,3693404,no,1,no,2
no,no,0,5000,semi-furnished,yes,yes,1,6342007,no,2,no,3
no,no,0,3960,furnished,yes,no,1,2765070,no,1,no,3
no,no,0,6720,unfurnished,yes,no,1,4833518,no,1,no,3
no,no,2,8520,furnished,yes,yes,1,5290097,no,1,no,3
yes,no,0,4990,furnished,yes,no,2,4607149,yes,2,yes,4
yes,no,1,3240,unfurnished,no,no,1,2437893,no,1,no,2
no,no,0,2700,furnished,no,no,1,3345158,no,1,no,3
no,no,2,8580,semi-furnished,yes,yes,3,9970582,no,4,yes,4
no,no,0,3934,unfurnished,yes,no,1,2615071,no,1,no,2
no,no,0,3720,unfurnished,no,yes,1,3305058,no,1,no,2
no,no,0,3100,semi-furnished,no,no,1,3300536,yes,2,no,3
no,no,0,3970,unfurnished,yes,no,1,2308190,yes,2,no,3
yes,no,0,3630,unfurnished,no,no,3,2711733,no,2,no,3
no,no,0,2000,semi-furnished,yes,no,1,2710476,no,2,no,2
no,no,1,6000,unfurnished,yes,yes,1,7474031,no,2,no,3
no,no,1,5850,unfurnished,yes,no,1,2889878,yes,2,no,3
no,no,0,6000,semi-furnished,yes,no,1,2817817,no,1,no,2
no,no,0,5020,unfurnished,yes,yes,1,6587084,no,4,yes,3
yes,no,0,6825,semi-furnished,yes,yes,1,5432763,yes,1,yes,3
no,no,0,3649,unfurnished,yes,no,1,1886261,no,1,no,2
yes,no,1,3800,unfurnished,yes,no,1,5280486,yes,2,yes,3
no,no,3,8250,semi-furnished,yes,no,1,4230920,yes,1,no,3
no,no,2,9960,semi-furnished,yes,no,2,12363677,yes,2,yes,3
yes,no,0,3090,unfurnished,yes,no,1,3090271,yes,1,no,2
yes,no,0,3000,furnished,yes,no,2,5060523,yes,2,no,3
no,no,2,13200,furnished,yes,yes,1,9612069,yes,2,yes,3
no,no,0,3000,furnished,yes,no,1,2563619,no,2,no,2
no,no,0,4000,semi-furnished,yes,yes,2,6863942,yes,2,yes,3
no,no,1,3120,unfurnished,yes,no,1,3535122,no,2,no,3
yes,no,0,6000,furnished,yes,yes,2,6547821,no,3,no,3
no,no,0,6615,semi-furnished,yes,no,1,2955001,no,2,no,3
no,no,0,4775,unfurnished,yes,no,1,3274070,no,2,no,4
no,no,1,4600,semi-furnished,yes,yes,2,4245359,no,2,no,3
yes,no,2,4646,semi-furnished,yes,no,1,4909552,yes,2,no,3
no,no,0,3180,unfurnished,yes,yes,1,3324415,yes,2,no,4
no,no,0,3480,unfurnished,no,yes,1,3477712,no,1,no,3
no,no,0,2787,furnished,yes,no,2,2412570,no,2,no,4
no,no,2,7980,semi-furnished,yes,no,1,5437333,no,1,no,3
no,no,0,3630,unfurnished,yes,yes,1,3734587,no,1,no,2
no,no,0,6420,furnished,yes,yes,2,6722158,no,3,yes,3
no,no,1,4200,furnished,yes,no,1,4961934,no,2,no,3
no,no,0,6750,semi-furnished,yes,no,1,3157359,no,1,no,2
no,no,1,5885,unfurnished,yes,yes,1,4490179,no,1,no,2
no,no,0,6000,semi-furnished,yes,yes,2,6465129,no,4,no,3
no,no,1,4640,semi-furnished,yes,no,1,5786613,no,2,no,4
no,no,0,8050,unfurnished,yes,no,1,3049984,no,1,no,2
no,no,2,3000,unfurnished,yes,no,1,1853055,yes,1,no,2
no,no,2,7475,unfurnished,yes,yes,2,8436135,no,4,no,3
no,no,1,3000,unfurnished,yes,no,1,2480434,no,1,no,2
no,no,1,7770,furnished,yes,no,1,4283370,no,1,no,2
no,no,0,4500,semi-furnished,no,yes,1,4080415,yes,2,no,3
no,no,0,3640,unfurnished,yes,no,1,3180295,yes,2,no,4
no,no,0,2910,furnished,no,no,1,1762019,no,1,no,3
yes,no,1,5750,unfurnished,yes,yes,2,9881564,no,4,yes,3
no,no,0,2400,unfurnished,yes,no,1,2104656,no,2,no,3
no,no,0,6450,semi-furnished,yes,no,1,4341969,no,2,no,4
no,no,0,3800,unfurnished,yes,no,1,3029759,no,1,no,2
no,no,2,3180,semi-furnished,yes,no,2,3845915,yes,1,no,2
no,no,0,2135,unfurnished,no,no,2,3568671,no,2,no,3
no,no,3,6440,semi-furnished,yes,yes,1,4704327,no,1,no,2
no,no,0,4960,unfurnished,yes,yes,1,3098383,yes,1,no,2
no,no,2,5360,unfurnished,yes,no,1,4627954,no,2,yes,3
no,yes,2,3760,semi-furnished,yes,no,1,6460780,no,2,no,3
no,no,0,6600,furnished,yes,no,2,6769354,yes,4,yes,2
no,no,0,3000,unfurnished,yes,no,1,5142701,yes,2,no,3
no,no,3,8400,unfurnished,yes,no,1,4634931,no,4,no,4
yes,no,2,5700,furnished,yes,yes,1,6612352,yes,1,yes,3
no,no,0,2850,unfurnished,no,no,2,3570588,yes,2,yes,3
no,no,0,6360,semi-furnished,yes,no,1,5499531,no,3,yes,3
no,no,1,8400,furnished,yes,no,1,3715070,no,1,no,2
no,no,1,10500,furnished,yes,yes,2,6570256,yes,1,yes,3
no,no,1,2684,unfurnished,yes,yes,1,3203806,no,1,no,2
no,yes,0,4260,semi-furnished,yes,no,2,6710916,no,2,no,4
no,no,2,3630,semi-furnished,yes,no,1,4763548,no,2,no,3
no,no,0,4815,semi-furnished,yes,yes,1,4858909,no,1,yes,2
no,no,1,6000,furnished,yes,yes,1,6743257,no,1,no,3
no,no,0,5300,unfurnished,no,yes,1,2277635,no,1,yes,3
no,no,2,6360,furnished,yes,yes,2,6994690,no,3,yes,4
no,no,2,4080,semi-furnished,yes,no,1,4135505,no,2,no,3
yes,no,2,5500,furnished,yes,no,2,6295995,yes,1,yes,3
no,no,0,6670,unfurnished,yes,no,1,6569789,yes,3,yes,3
no,no,0,1700,unfurnished,yes,no,1,1870900,no,2,no,3
yes,no,1,5960,unfurnished,yes,no,3,8337055,yes,2,no,3
no,no,0,2800,unfurnished,yes,no,1,2681084,no,1,no,3
no,no,1,3450,semi-furnished,yes,no,1,4272810,no,2,no,3
no,no,2,7420,furnished,yes,yes,2,13233255,no,3,yes,4
yes,yes,2,6000,semi-furnished,yes,no,3,9862968,yes,2,no,4
no,no,0,1905,semi-furnished,no,no,1,4393836,yes,2,no,5
yes,no,1,8050,furnished,yes,yes,1,8573124,yes,1,no,3
no,no,0,5450,furnished,yes,no,1,3686130,no,1,no,2
no,no,0,3410,semi-furnished,no,yes,1,5232402,no,2,no,3
no,no,2,8580,furnished,yes,no,3,6432843,no,2,no,5
yes,no,0,3700,furnished,yes,yes,1,5875404,no,2,no,4
yes,no,0,5828,semi-furnished,yes,no,1,5745418,no,4,no,4
no,no,0,5800,unfurnished,yes,yes,2,5846178,no,4,no,3
no,no,1,5500,unfurnished,yes,no,1,6263993,no,3,yes,3
no,no,0,6600,semi-furnished,yes,no,2,5550417,yes,1,yes,4
no,no,2,3240,semi-furnished,yes,no,1,3054379,no,2,no,3
yes,no,2,4600,furnished,yes,yes,2,8865800,no,2,no,3
no,no,0,2970,semi-furnished,yes,no,1,4802992,no,3,no,3
no,no,0,3300,semi-furnished,yes,no,3,5527667,yes,2,no,3
no,no,2,6000,semi-furnished,yes,no,1,8984759,yes,2,no,4
no,no,1,6930,furnished,no,no,1,3785945,no,2,no,4
no,no,1,6000,semi-furnished,yes,yes,2,7891064,no,4,no,4
yes,no,1,6000,semi-furnished,yes,yes,2,7378783,no,2,no,3
no,no,2,6100,furnished,yes,no,2,5472943,yes,1,yes,3
no,no,1,6000,furnished,yes,yes,2,7468325,no,4,no,3
no,no,3,7200,semi-furnished,yes,yes,2,6315442,yes,1,no,3
no,no,2,3816,furnished,yes,yes,1,3847986,yes,1,no,2
no,no,0,2610,unfurnished,yes,no,1,3491823,yes,2,yes,3
no,no,0,3750,unfurnished,yes,no,1,3066573,no,2,no,3
no,no,0,5010,semi-furnished,yes,no,1,4532094,yes,2,no,3
no,no,0,3850,unfurnished,yes,no,1,1758269,no,2,no,3
no,no,0,5076,unfurnished,no,no,1,2951263,no,1,no,3
no,no,0,3180,unfurnished,no,no,1,2511759,no,1,no,3
no,no,0,6020,semi-furnished,yes,no,1,3731264,no,1,no,3
no,yes,0,3120,semi-furnished,no,no,1,3768390,yes,2,no,3
no,no,0,7700,unfurnished,yes,no,1,2459225,no,1,no,2
no,no,3,7000,furnished,yes,no,1,4130338,no,1,no,3
no,no,0,3570,semi-furnished,yes,no,1,3569853,yes,2,no,3
no,no,0,3000,furnished,yes,yes,1,3666646,no,2,no,2
yes,yes,0,6450,unfurnished,yes,no,2,5455197,yes,1,no,3
no,no,0,2400,semi-furnished,no,no,1,1774655,no,1,no,3
no,no,0,5300,unfurnished,yes,yes,2,5192564,no,1,yes,4
no,no,0,7424,unfurnished,no,no,1,3538698,no,1,no,3
no,no,2,12090,furnished,yes,no,2,6922238,no,2,yes,4
yes,no,3,7260,furnished,yes,no,2,3960430,yes,1,no,3
no,no,0,3000,semi-furnished,yes,no,1,3859800,no,2,no,3
no,no,0,5200,semi-furnished,yes,yes,1,5721657,no,3,no,3
yes,no,2,8400,unfurnished,yes,yes,1,5252540,yes,2,yes,3
no,no,1,6525,furnished,yes,no,2,5885249,no,4,no,3
no,no,0,3650,unfurnished,yes,no,1,3535086,no,2,no,3
no,no,0,3635,unfurnished,no,no,1,2396527,no,1,no,2
no,no,0,4000,semi-furnished,yes,no,1,2693388,no,1,no,3
no,no,2,4600,semi-furnished,yes,yes,2,5218730,no,1,no,2
no,no,0,5640,semi-furnished,no,no,1,3630281,no,1,no,2
no,no,0,3520,semi-furnished,yes,no,1,4205268,no,2,yes,3
no,no,0,1836,semi-furnished,no,no,1,2254380,yes,1,no,2
no,no,0,3150,furnished,yes,no,1,3588413,yes,2,no,3
yes,no,1,5680,semi-furnished,yes,yes,1,4661109,no,2,no,3
no,no,1,2145,unfurnished,yes,no,1,4206827,no,3,yes,3
no,no,1,8100,unfurnished,yes,no,1,3039772,no,1,no,2
no,no,0,3930,unfurnished,no,no,1,3200492,no,1,no,2
no,no,1,6420,semi-furnished,yes,yes,2,8781053,no,2,yes,3
no,no,2,4130,semi-furnished,yes,no,2,3690214,no,2,no,3
no,no,1,11440,semi-furnished,yes,no,1,7222132,yes,2,yes,4
yes,no,1,9667,semi-furnished,yes,no,2,4714602,yes,2,no,4
